topic,aliases,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
alchemy,,"Alchemy is the art and science of identifying the magical properties inherent in ingredients and combining them to produce potions with diverse temporary or permanent effects, such as healing, curing disease, water-walking, magical shielding, and fortifying bodily attributes. A practitioner's skill determines the range of properties they can discern in a given substance, the likelihood of successfully brewing a potion, and the resulting magnitude and duration of its effects. The potency of crafted concoctions is further influenced by the quality of the apparatus employed—such as retorts, calcinators, alembics, and mortars—and the practitioner's intelligence and luck. It remains a potentially powerful discipline for those who master its intricacies.","scholar, alchemist, healer, mage","Alchemy is the practice of identifying the magical properties within ingredients and brewing them into potions. These concoctions can produce various effects, such as healing, curing disease, or fortifying attributes. A practitioner's skill determines how many properties they can discern in an ingredient and the potency of the resulting mixture.",common,"alchemy, potions, ingredients, apparatus, magic, healing, crafting, disciplines",alchemy
azuras_star,Star of Azura,"Azura's Star is a Daedric artifact created by the Daedric Prince Azura, serving as her prominent symbol. Sometimes called the Twilight Star, it appears as an intricately designed gemstone with eight star-like prongs. In the right hands, it functions as a reusable soul gem of almost unlimited capacity, capturing white souls. Upon use, the trapped soul is freed to journey to Oblivion, emptying the vessel for reuse. This legendary power makes the Star highly sought by mages and assassins. Some believe it can turn living creatures into statues. Mortals once corrupted it to trap black souls, creating the Black Star. Those who wield the artifact are known to Azura's faithful as Star-Bearer.","priest, scholar, daedra, mage","Azura's Star is a legendary Daedric artifact and symbol of the Daedric Prince Azura. It functions as a reusable soul gem of almost unlimited capacity, making it highly prized by enchanters. The faithful call its wielder the Star-Bearer.","common, daedra, priest","Daedric artifact, Azura, soul gem, enchanting, Twilight Star, Star-Bearer, Daedra worship, magic",artifacts
ash_vampires,Dagoth Ash Vampires,"Ash Vampires are powerful, high-ranking servants of Dagoth Ur, transformed through deep communion with his divine power and Corprus. Unlike lesser ash creatures, they retain considerable intelligence and arcane capability, serving as generals and lieutenants within House Dagoth. They are most commonly encountered within the Ghostfence and Red Mountain citadels, where they guard their master's strongholds and enact his will. Their distorted physiology reflects their profound connection to the Heart of Lorkhan.","scholar, esoteric, house_dagoth, red_mountain","Ash Vampires are powerful, corrupted servants of Dagoth Ur. Transformed by his power and the Corprus disease, they serve as elite guardians and leaders within House Dagoth, primarily found in the Red Mountain region.","esoteric, house_dagoth, red_mountain","ash vampire, dagoth ur, house dagoth, red mountain, corprus, sixth house, ash creature, blight",creatures
ashlanders,"Ashland tribes, Velothi nomads","Ashlanders are Dunmeri nomads dwelling in Morrowind's harshest wildernesses, preserving the ancestor-worshipping tribal culture abandoned by the Great Houses. Calling themselves the Velothi people, they reject the Tribunal as betrayers of Lord Nerevar who sustain themselves through necromantic arts. Each clan is led by an Ashkhan in temporal matters and a Wise Woman in spiritual affairs; the Wise Women interpret prophetic dreams and guard ancient verses. The four Vvardenfell clans—Ahemmusa, Erabenimsun, Urshilaku, and Zainab—frequently feud. Proud and xenophobic, Ashlanders observe strict codes of honor, gift-giving, and courtesy among themselves, but are deeply hostile toward outlanders, whom they shun unless named Clanfriend. The small Nerevarine Cult persists within their tradition, awaiting a foreigner foretold to right ancient wrongs.","traveler, scholar, ashlander, dunmer","Ashlanders are Dunmer nomads inhabiting Morrowind's wastelands who preserve the ancient ancestor-worshipping culture the Great Houses abandoned. They reject the Tribunal, believing its members betrayed Lord Nerevar. Organized into four Vvardenfell clans led by Ashkhans and Wise Women, they are proud, xenophobic, and deeply hostile to outlanders, though one who aids a clan may be named Clanfriend.","common, ashlander, dunmer","Dunmer, nomads, Vvardenfell, ancestor worship, Nerevarine Cult, Wise Women, Ashkhans, Tribunal opposition, tribes, Velothi",cultures
blight,"Blight disease, Blight storms","The Blight is a malignant weather phenomenon originating from Red Mountain, where dense, ruddy ash storms carry supernatural disease across Vvardenfell. Confined behind the Ghostfence, these blight storms spill into the Ashlands, infecting any creature or traveler they touch with one of four debilitating Blight diseases. Afflicted fauna grow stronger, grotesque, and highly aggressive; infected mortals may similarly twist into shambling, violent husks. Dagoth Ur is widely believed to be the source of the Blight. Because the affliction silently degrades physical attributes and cannot be prevented by curing carriers beforehand, restoration magic—such as Vivec's Touch—is essential for survival and treating infected companions in blighted regions.","scholar, healer, ashlander, red_mountain","The Blight is a deadly red ash storm that spreads from Red Mountain, carrying supernatural disease across Vvardenfell. It infects people and animals, making creatures stronger and more aggressive while twisting victims into violent husks. The Ghostfence holds most of it back, but blight storms still leak into the Ashlands. Healers and travelers rely on cure spells to treat its debilitating effects.","common, healer, ashlander, red_mountain","disease, Red Mountain, Ghostfence, ash storm, Dagoth Ur, Vvardenfell, Ashlands, corprus",diseases
blades,Imperial Intelligence,"The Blades are an elite Imperial order descended from the Akaviri Dragonguard, historically dedicated to serving and protecting the Dragonborn emperors of Tamriel. While a select few serve openly as bodyguards or diplomats, the vast majority operate covertly as the Empire's intelligence network, serving as the Emperor's eyes and ears across the provinces. In Vvardenfell, Blades agents operate under deep cover, reporting to Spymaster Caius Cosades in Balmora to monitor Dunmer dissidents and investigate the Nerevarine prophecies on Uriel Septim VII's direct command.","scholar, esoteric, blades, imperial","The Blades are an elite order serving the Emperor as bodyguards, diplomats, and spies. While some serve openly, most conceal their identities and act as the Empire's hidden eyes and ears. In Vvardenfell, they operate under deep cover, monitoring threats and investigating the Nerevarine prophecies.","esoteric, imperial","blades, imperial, intelligence, espionage, dragonguard, akaviri, septim, dragonborn, spies, bodyguard, vvardenfell, balmora",factions
almalexia,"Lady Almalexia, Mother Morrowind, Ayem","Almalexia, known as Ayem, the Warden, and the Lover, is one of the three God-Kings of the Tribunal, representing Alm in the Almsivi. Formerly the mortal wife of Indoril Nerevar, she and her fellow Tribunes broke their oath to Azura following Nerevar's death at Red Mountain, using Kagrenac's Tools on the Heart of Lorkhan to steal divine essence. This act transformed the Chimer into the Dunmer. The Temple's orthodox Heirographa conceals this, attributing their godhood to supernatural virtue. Almalexia is revered as the Healing Mother and patron of the poor, residing in the temple city of Mournhold. She is closely associated with House Indoril and known for walking among her followers. Her power waned during the Third Era struggle with Dagoth Ur, and accounts of her final fate remain deeply disputed.","priest, scholar, tribunal_temple, dunmer, mournhold","Almalexia is one of the three God-Kings of the Tribunal, revered by the Dunmer as the Healing Mother and Lady of Mercy. She resides in Mournhold and serves as the patron of teachers and healers. Formerly the mortal wife of Lord Nerevar, she ascended to godhood alongside Vivec and Sotha Sil after the Battle of Red Mountain, becoming an immortal protector of Morrowind.","common, tribunal_temple, dunmer, mournhold","Tribunal, Almsivi, God-King, Dunmer, Mournhold, House Indoril, Nerevar, Red Mountain, Healer, Chimer",figures
battle_of_red_mountain,War of the First Council,"The Battle of Red Mountain is the climactic engagement of the War of the First Council, fought circa 1E 700 between the Chimer under Hortator Nerevar and the Dwemer under King Dumac. The war erupted after Lord Dagoth revealed that High Craftlord Kagrenac was tapping the Heart of Lorkhan to build a new god. Nerevar drew the Dwemer armies out, then infiltrated the Heart Chamber. There, Kagrenac used his Tools upon the Heart, causing the entire Dwemer race to vanish. In the aftermath, Dagoth Ur refused to surrender the Tools, clashing with Nerevar's forces. Nerevar perished, and his counselors later broke their oath to Azura by using the Tools to become the Tribunal, prompting her curse that transformed the Chimer into the Dunmer and prophesied Nerevar's return.","scholar, dunmer, dwemer, ashlander","The Battle of Red Mountain is the climactic clash of the War of the First Council between the Chimer and the Dwemer. Sparked by the Dwemer tapping the Heart of Lorkhan, the battle ends with the entire Dwemer race vanishing. Nerevar dies in the aftermath, and his counselors use the Dwemeri tools to become the Tribunal, prompting Azura to curse the Chimer into the Dunmer.","common, traveler, dunmer, dwemer, ashlander","Red Mountain, First Council, Chimer, Dwemer, Nerevar, Dumac, Kagrenac, Heart of Lorkhan, Tribunal, Dagoth Ur, Azura",history
clockwork_city,Clockwork Realm,"The Clockwork City, also called the Brass-Throat, is the eponymous realm of Sotha Sil, crafted to replicate the mythic structures of Nirn in metallic miniature. Existing as a metaphysical plane within a seemingly mundane clockwork globe, its interior is an expansive mechanical world. It is regarded as an incomprehensibly powerful world-shaping device; altering the City may alter Tamriel itself. Accessible only via extraordinary magic—such as Barilzar's Mazed Band—the City is tended by Clockwork Apostles who seek to forge a perfected Second Nirn, free of Daedric influence. Its tunnels, filled with Dwemer-inspired machinery and Fabricants, represent the living god's ongoing endeavor to reshape the flawed Aedric creation.","scholar, esoteric, mage, tribunal_temple, mournhold","The Clockwork City is a legendary mechanical realm created by the god Sotha Sil. Hidden beneath Mournhold and accessible only by powerful teleportation magic, it is said to be a metallic simulacrum of Nirn. The Tribunal Temple guards knowledge of its existence, though its true purpose and inner workings remain a mystery to all but Sotha Sil's devoted followers.","esoteric, tribunal_temple, mournhold","Sotha Sil, Tribunal, Mournhold, Fabricants, Clockwork Apostles, Dwemer, metaphysical plane, Barilzar's Mazed Band, Nirn-Ensuing, Brass-Throat",locations
heart_of_lorkhan,Heart of the World,"The Heart of Lorkhan is the divine spark of the dead trickster god Lorkhan. Falling from the heavens as a star-wound, it impacted Vvardenfell and formed Red Mountain. In Tower metaphysics, this First Stone anchors Red Tower and enables Mundus to persist without full divine presence, granting Nirn its variable fate. The Dwemer discovered the Heart and forged tools to harness its power for a brass god, but vanished instead. Later, the Tribunal and Dagoth Ur drew upon it to achieve divinity, visiting annually to renew their power until Dagoth Ur severed their access. Some traditions hold that the Heart creates Heroes to defend the mortal plane, and that the red gem of the Amulet of Kings originated as a drop of its blood.","scholar, esoteric, dwemer, house_dagoth, tribunal_temple, mage","The Heart of Lorkhan is the divine spark of the dead god Lorkhan. Legend holds that it fell from the sky as a meteor, forming Red Mountain in Vvardenfell. The Dwemer discovered it and attempted to harness its power, but mysteriously vanished. Later, the Tribunal and Dagoth Ur used the Heart to become living gods.","esoteric, tribunal_temple, mage","Lorkhan, Red Mountain, Vvardenfell, Tribunal, Dagoth Ur, Dwemer, First Stone, Red Tower, Amulet of Kings, divine spark, Nirn",lore
propylon_chambers,"Propylon Indexes, Dunmer stronghold travel","The Propylon Chambers are ancient teleportation devices housed within the ten Dunmer strongholds of Vvardenfell. Each chamber connects to neighboring strongholds through a network of magical pathways, enabling instantaneous transit across considerable distances. The system requires a Propylon Index—a specialized focusing crystal keyed to a specific destination—to activate transit to that stronghold. Without the appropriate index, the propylon remains inert. The indices are rare and scattered, their locations often unknown or guarded. The network stands as a testament to Dunmer architectural and arcane achievement, though much of its operational knowledge has been lost over the centuries, leaving the chambers largely dormant and their full potential unrealized.","scholar, esoteric, mage, dunmer","Ancient teleportation chambers built within the Dunmer strongholds of Vvardenfell. The propylon network permits instantaneous travel between strongholds, though each destination requires its corresponding Propylon Index to activate. Most chambers now lie dormant, their indices lost or scattered.","esoteric, scholar, dunmer","teleportation, Dunmer strongholds, Vvardenfell, Propylon Indices, ancient magic, travel network, Dunmer architecture, focusing crystals, strongholds, arcane devices",magic
dunmer,Dark Elves,"The Dunmer, commonly called Dark Elves in the Empire, are the grey-skinned, red-eyed elven peoples of Morrowind. Embracing their reputation as ill-favored by fate, they are generally grim and aloof, combining powerful intellects with strong physiques to produce renowned warriors and sorcerers. Their culture revolves around the veneration of ancestors; spirits are bound by duty to aid their living bloodlines through family shrines and ghost fences. While foreign cultures mistakenly conflate these practices with necromancy—an abhorrent abomination to the Dunmer when performed upon elven remains—spirits of other races are afforded no such protection. The Great Ghost Fence, built by the Tribunal, has largely supplanted traditional clan fences, absorbing the remains of countless heroes to hold back the Blight.","scholar, traveler, dunmer","The Dunmer, or Dark Elves, are the grey-skinned, red-eyed elven natives of Morrowind. Fierce and reserved, they are renowned warriors and sorcerers who integrate the sword, bow, and destruction magic in battle. Their society centers on ancestor veneration, maintaining family shrines and ghost fences to commune with the dead—a practice outsiders often mistakenly condemn as necromancy.","common, dunmer","dunmer, dark elves, morrowind, elves, mer, ancestor worship, tribunal, great houses, destruction magic, ghost fence, necrom",races
morrowind,Province of Morrowind,"Morrowind, historically known as Dwemereth, Veloth, and Resdayn, is the northeastern nation of Tamriel and the homeland of the Dunmer. Dominated by the volcanic Red Mountain and the island of Vvardenfell, it also encompasses mainland territory separated by the Inner Sea and bordered by the Sea of Ghosts. The province is governed under the Tribunal Temple's theocracy, with Great Houses holding secular power. Its landscape ranges from the ash-blighted interior to varied coastal and border regions. The island of Solstheim to the northwest remains a theoretical claim. Presently, Morrowind contends with the Blight spreading from Red Mountain and the rising threat of the Sixth House.","scholar, traveler, dunmer","Morrowind is the northeastern province of Tamriel and the homeland of the Dunmer. It consists of the mainland and the great island of Vvardenfell, which is dominated by the ash-spewing Red Mountain. Separated by the Inner Sea and bordered by the Sea of Ghosts, the region is also known historically as Resdayn or Veloth.","common, dunmer","Morrowind, Dunmer, Vvardenfell, Red Mountain, Resdayn, Veloth, Tribunal Temple, Great Houses, Inner Sea, Sea of Ghosts, Blight, Tamriel",regions
