topic,aliases,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
morrowind,Province of Morrowind,"Morrowind, historically known as Dwemereth, Veloth, and Resdayn, is the northeastern nation of Tamriel and the homeland of the Dunmer. Dominated by the volcanic Red Mountain and the island of Vvardenfell, it also encompasses mainland territory separated by the Inner Sea and bordered by the Sea of Ghosts. The province is governed under the Tribunal Temple's theocracy, with Great Houses holding secular power. Its landscape ranges from the ash-blighted interior to varied coastal and border regions. The island of Solstheim to the northwest remains a theoretical claim. Presently, Morrowind contends with the Blight spreading from Red Mountain and the rising threat of the Sixth House.","scholar, traveler, dunmer","Morrowind is the northeastern province of Tamriel and the homeland of the Dunmer. It consists of the mainland and the great island of Vvardenfell, which is dominated by the ash-spewing Red Mountain. Separated by the Inner Sea and bordered by the Sea of Ghosts, the region is also known historically as Resdayn or Veloth.","common, dunmer","Morrowind, Dunmer, Vvardenfell, Red Mountain, Resdayn, Veloth, Tribunal Temple, Great Houses, Inner Sea, Sea of Ghosts, Blight, Tamriel",regions
vvardenfell,Vvardenfell District,"Vvardenfell, also called the Black Isle, is a large island within Morrowind's Inner Sea, dominated by the great volcano Red Mountain. Named after the Dwemeri term for that peak, meaning City of the Strong Shield, its landscape of arid wastes, rocky highlands, and coastal wetlands undergoes constant renewal from eruptions and ash-fall. Originally home to House Dagoth and a Dwemer kingdom, the entire territory became a Tribunal Temple preserve following the Battle of Red Mountain. Under the Armistice, the Temple restricted settlement and trade. In 3E 414, Vvardenfell was reorganized into an Imperial Provincial District divided into Redoran, Hlaalu, Telvanni, and Temple districts, each administered locally but overseen by Duke Dren and the District Council in Ebonheart. By 3E 427, heavy colonization has reduced native Dunmer to roughly half the population, while Dagoth Ur's spreading Ash Blight increasingly afflicts the island's environment and inhabitants.","traveler, scholar, dunmer, imperial","Vvardenfell is a large island within Morrowind's Inner Sea, dominated by the great volcano Red Mountain. Its landscape of arid wastes, rocky highlands, and coastal wetlands is constantly reshaped by eruptions and ash-fall. Formerly a Tribunal Temple preserve with restricted access, the island was reorganized as an Imperial Provincial District in 3E 414, opening it to increased Great House and outlander colonization.","common, dunmer","island, Red Mountain, Inner Sea, Morrowind, Tribunal Temple, Imperial District, Great Houses, volcano, ashlands, Dwemer, House Dagoth, Armistice",regions
tribunal,"ALMSIVI, Living Gods","The Tribunal—Almalexia, Sotha Sil, and Vivec, collectively Almsivi—are the Living Gods of the Dunmer and the central figures of the native Tribunal Temple faith. For millennia, they have guided and protected Morrowind, their divine authority and sustained power forming the bedrock of Dunmer religious and cultural identity. The Temple itself wields immense authority, controlling sacred sites like Ghostgate and the city of Vivec while maintaining strong ties with the pious Great Houses, particularly Indoril and Redoran. Though the faith accepts outlanders, few join sincerely. Tensions persist with Imperial institutions, as the Temple remains proscribed to adherents of the Imperial cult. The Tribunal's presence defines Morrowind's spiritual landscape.","priest, scholar, tribunal_temple, dunmer","The Tribunal, or Almsivi, are the three Living Gods of the Dunmer: Almalexia, Sotha Sil, and Vivec. They are the central figures of the Tribunal Temple, the native religion of Morrowind, which wields great authority over the province's spiritual and cultural life.","common, tribunal_temple, dunmer","Almsivi, Almalexia, Sotha Sil, Vivec, Living Gods, Tribunal Temple, Dunmer religion, Morrowind faith, Ghostgate, House Indoril, House Redoran",religion
nerevarine,"Nerevar Reborn, Incarnate","The prophesied reincarnation of the Chimeri warlord Indoril Nerevar, whose return is foretold to defeat Dagoth Ur and restore Resdayn. The Nerevarine Cult holds that Nerevar cursed the ring Moon-and-Star so that none but his reincarnate could wear it. The Incarnate must survive corprus, don Moon-and-Star, and be named Hortator and Nerevarine by the Great Houses and Ashlander tribes. Whether the figure is a true soul-rebirth or a destiny-fulfilling individual remains contested between the Dissident Priests and orthodox Temple doctrine.","scholar, esoteric, ashlander, tribunal_temple","A prophesied hero of Ashlander belief, held to be the reincarnation of Indoril Nerevar. The Nerevarine is destined to cast down the false gods, end the Blight, and restore Resdayn. The Temple denounces this doctrine as heresy.","esoteric, ashlander, tribunal_temple","Nerevarine, prophecy, Indoril Nerevar, reincarnation, Ashlander, Moon-and-Star, Hortator, Dagoth Ur, Blight, Resdayn, Dissident Priests, Nerevarine Cult",lore
nerevarine_prophecies,"Seven Visions, Seven Trials","The Nerevarine Prophecies are Ashlander traditions foretelling the reincarnation of Indoril Nerevar. Centered on the Seven Visions and Seven Trials, they predict the Incarnate will unite the Dunmer, cast down the false Tribunal, and drive the Blight from Resdayn. The Tribunal Temple fiercely suppresses these teachings as heresy, though the predicted signs—including the moon-and-star ring and the outsider's arrival—remain central to millennial anticipation.","scholar, esoteric, ashlander, tribunal_temple",Ashlander traditions hold that Indoril Nerevar will be reincarnated to save the Dunmer. The prophecies describe seven trials the Incarnate must overcome to cast down false gods and end the Blight. The Tribunal Temple condemns these teachings as heresy.,"esoteric, ashlander, tribunal_temple","prophecy, Nerevarine, Ashlander, Nerevar, Incarnate, Blight, Tribunal, Vvardenfell, Resdayn, Dunmer, Moon-and-Star, heresy",lore
sixth_house,"House Dagoth, Sixth House and the Tribe Unmourned","The Sixth House, originally House Dagoth, was the sixth Great House of the Chimer. Following the Battle of Red Mountain, its records were destroyed and its surviving members were absorbed into the remaining houses, earning it the epithet 'the Tribe Unmourned.' Unbeknownst to the world, Dagoth Ur survived within Red Mountain, gradually building power and influence. Operating from citadels like Kogoruhn, he commands ash vampires and corrupted dreamers, seeking to overthrow the Tribunal and reshape Morrowind through the power of the Heart of Lorkhan and a new Numidium.","scholar, esoteric, house_dagoth, ashlander, tribunal_temple","The Sixth House, originally House Dagoth, was the defunct sixth Great House of the Chimer. After the Battle of Red Mountain, its records were destroyed and its surviving members were absorbed into other houses. Unbeknownst to the outside world, Dagoth Ur survived within Red Mountain and spent centuries building power, seeking to overthrow the Tribunal and conquer Morrowind.","esoteric, house_dagoth, ashlander","House Dagoth, Sixth House, Dagoth Ur, Red Mountain, Ash Vampire, Tribunal, Ghostfence, Kogoruhn, Chimer, Great Houses, Tribe Unmourned, Heart of Lorkhan",factions
red_mountain,Vvardenfell volcano,"Red Mountain is a massive volcano dominating the island of Vvardenfell in Morrowind. Originally the highest peak in Tamriel, its summit is visible from Mournhold on clear days. The island takes its name from the Dwemeris designation for the mountain, meaning City of the Strong Shield. Red Mountain has erupted catastrophically multiple times, including the Sun's Death event and the Days of Fire. The Tribunal encircled the mountain with the Ghostfence to contain the Ash Blight, restricting physical access primarily to Ghostgate. Within this perimeter lie deep lava ravines called foyada, blighted creatures, and four ancient Dwemer citadels serving as strongholds for Dagoth Ur and his ash vampires. The mountain holds profound mythological significance as the Red Tower, with the Heart of Lorkhan serving as its Stone, anchoring Mundus with variable fate. The Battle of Red Mountain occurred on its slopes, resulting in the Dwemer disappearance and the Tribunal's ascension.","traveler, scholar, red_mountain, ashlander, dwemer","Red Mountain is a vast volcano dominating the island of Vvardenfell. Visible from Mournhold, it is considered the most dangerous region in Morrowind. The Tribunal built the Ghostfence around it to contain the Ash Blight, with Ghostgate serving as the primary entrance. Ash storms and blighted creatures plague the interior, where ancient Dwemer citadels serve as strongholds for Dagoth Ur and his minions.","common, red_mountain, ashlander","volcano, Vvardenfell, Ghostfence, Dagoth Ur, Dwemer, Heart of Lorkhan, Red Tower, foyada, Blight, Tribunal, Morrowind, eruption",locations
battle_of_red_mountain,War of the First Council,"The Battle of Red Mountain is the climactic engagement of the War of the First Council, fought circa 1E 700 between the Chimer under Hortator Nerevar and the Dwemer under King Dumac. The war erupted after Lord Dagoth revealed that High Craftlord Kagrenac was tapping the Heart of Lorkhan to build a new god. Nerevar drew the Dwemer armies out, then infiltrated the Heart Chamber. There, Kagrenac used his Tools upon the Heart, causing the entire Dwemer race to vanish. In the aftermath, Dagoth Ur refused to surrender the Tools, clashing with Nerevar's forces. Nerevar perished, and his counselors later broke their oath to Azura by using the Tools to become the Tribunal, prompting her curse that transformed the Chimer into the Dunmer and prophesied Nerevar's return.","scholar, dunmer, dwemer, ashlander","The Battle of Red Mountain is the climactic clash of the War of the First Council between the Chimer and the Dwemer. Sparked by the Dwemer tapping the Heart of Lorkhan, the battle ends with the entire Dwemer race vanishing. Nerevar dies in the aftermath, and his counselors use the Dwemeri tools to become the Tribunal, prompting Azura to curse the Chimer into the Dunmer.","common, traveler, dunmer, dwemer, ashlander","Red Mountain, First Council, Chimer, Dwemer, Nerevar, Dumac, Kagrenac, Heart of Lorkhan, Tribunal, Dagoth Ur, Azura",history
first_council,Chimer-Dwemer alliance,"The First Council was the governing body of Resdayn, formed in 1E 416 when Indoril Nerevar's Chimer and Dumac Dwarfking's Dwemer allied to drive the Nords from Morrowind. Nerevar and Dumac led the council, and their personal bond sustained an unprecedented cultural flowering despite religious friction. The alliance fractured over Kagrenac's profane enchantments and Azura's intervention, igniting the War of the First Council in 1E 668. The conflict ended with Nerevar and Dumac dead, the Dwemer vanished, and the Tribunal ascending. Vivec later reconstituted this body as the Grand Council of Morrowind.","scholar, dunmer, dwemer","Formed in 1E 416 after the Chimer and Dwemer expelled the Nords from Resdayn, the First Council united both peoples under Indoril Nerevar and Dumac Dwarfking. The alliance collapsed in 1E 668 during the War of the First Council, leading to the Dwemer disappearance and the Tribunal's rise.","common, traveler, dunmer, dwemer","Resdayn, First Era, Chimer, Dwemer, Nerevar, Dumac, Red Mountain, Tribunal, Nordic occupation, War of the First Council, Great Houses",history
chimer,"Changed Ones, Velothi","The Chimer, meaning People of the North, are the Aldmeri dissidents who followed the prophet Veloth from Summerset Isle to settle Morrowind. Rejecting Aedric worship, they embraced the Good Daedra—Boethiah, Azura, and Mephala—whose teachings shaped their dynamic, ambitious culture of fundamentalist ancestor worship. Resembling the Altmer but with paler golden skin, they established the High Velothi culture and raised great temples to their Daedric patrons. Their civilization ended at the Battle of Red Mountain, when Azura's curse transformed them into the Dunmer. A few figures, notably Almalexia and partially Vivec, retained their Chimeri appearance despite this curse.","scholar, dunmer, priest, daedra","The Chimer were Aldmeri clans who followed the prophet Veloth from Summerset to Morrowind, worshipping the Daedra Boethiah, Azura, and Mephala. They built a golden-skinned civilization devoted to ancestor worship before being cursed and transformed into the Dunmer after the Battle of Red Mountain.","common, traveler, dunmer","mer, aldmer, veloth, exodus, morrowind, daedra, boethiah, azura, mephala, tribunal, red mountain, dunmer",cultures
