plugin,baseid,name,description
Morrowind.esm,p_jump_s,Standard Potion of Jump,"A small rounded glass vial sealed with a cork stopper, containing a quantity of pale green liquid."
Morrowind.esm,potion_skooma_01,Skooma,"A translucent red liquid fills a squat, rounded glass bottle with a narrow neck and simple stopper."
Morrowind.esm,apparatus_a_retort_01,Apprentice's Retort,A slender glass retort with a swollen central chamber and a long tapering spout curves outward from its neck.
Morrowind.esm,apparatus_sm_mortar_01,SecretMaster's Mortar and Pestl,"A smooth stone mortar paired with a stout pestle, both polished dark gray and fitted for grinding alchemical reagents."
Morrowind.esm,imperial boots,Imperial Steel Boots,Heavy steel boots shaped with reinforced toe plates and sturdy ankle guards feature dark leather strapping.
Bloodmoon.esm,BM_wolf_helmet_snow,Snow Wolf Helmet,"A helmet fashioned from the head of a snow wolf, retaining the white fur, upright ears, and snout."
Morrowind.esm,bk_treasuryorders,Treasury Orders,"A rolled parchment scroll secured with a broken wax seal, featuring faded ink script on slightly yellowed vellum."
Morrowind.esm,bk_shalitjournal_deal,Rels Tenim Journal Page,"A torn, yellowed parchment page bearing hastily scrawled ink lines across its wrinkled surface."
Morrowind.esm,sarandas_ring_1,Glass Ring,"A slender ring of translucent green glass formed into a smooth, seamless band with a polished, reflective surface."
Morrowind.esm,extravagant_robe_01_b,Extravagant Robe,"A voluminous, long-sleeved garment tailored from richly colored, extravagant fabric with a wide, draped collar and loose, flowing silhouette."
Morrowind.esm,ingred_void_salts_01,Void Salts,Dark crystalline salts forming jagged clusters are contained within a small rough clay vessel.
Bloodmoon.esm,ingred_innocent_heart,Heart of an Innocent,"A dark crimson organ with a smooth, glistening surface and thick, branching vessels extending from its asymmetrical, ventricle-like shape."
Morrowind.esm,light_com_lantern_02_Off,Travel Lantern,"A small portable oil lantern featuring a cylindrical metal frame, a domed top, and a protective glass chimney."
Morrowind.esm,light_de_lantern_11,Paper Lantern,A rectangular paper lantern features thin wooden framing and pale translucent walls stretched around a central candle.
Morrowind.esm,pick_master,Master's Lockpick,"A slender, finely forged metal shaft ending in a curved, hooked tip with a polished finish."
Morrowind.esm,pick_secretmaster,Secret Master's Lockpick,"A slender, dark-hued lockpick with a finely tapered tip and a smooth, unadorned grip."
Tribunal.esm,misc_com_silverware_fork_uni,Fork,A slender silver utensil with an elongated handle and four narrow tines at the working end.
Morrowind.esm,key_Indalen_tomb,Key to Indalen tomb,"A simple iron key with a rectangular bow, short shaft, and single-toothed bit intended for an Indalen tomb lock."
